id,fakultas,informasi
FEB,Fakultas Ekonomi dan Bisnis,Sambutan dari Dekan FEB UNISMUH Dr. Andi Jam'an S.E. M.Si. menegaskan bahwa fakultas ini telah berkiprah lebih dari setengah abad dalam mencetak sumber daya manusia di bidang ekonomi dan bisnis. Dalam sambutannya beliau menekankan bahwa FEB UNISMUH bukan hanya menjadi pusat pengembangan ilmu pengetahuan dan teknologi tetapi juga berkomitmen menjunjung tinggi nilai-nilai Islam sebagai dasar pendidikan. FEB telah berkembang menjadi salah satu fakultas terbesar di lingkungan Universitas Muhammadiyah Makassar dan menjadi ikon bagi perkembangan keilmuan berbasis nilai Islami.
FEB,Fakultas Ekonomi dan Bisnis,Struktur kepemimpinan FEB terdiri dari Dekan dan empat Wakil Dekan yang memiliki peran strategis dalam mengelola berbagai aspek fakultas. Wakil Dekan I Agusdiwana Suarni S.E. M.Acc fokus pada bidang akademik dan peningkatan kualitas pembelajaran. Wakil Dekan II Dr. Muchriana Muchran S.E. M.Si. Ak CA bertanggung jawab atas bidang administrasi keuangan dan sarana prasarana. Wakil Dekan III Abdul Muttalib S.E. M.M berfokus pada pengembangan kemahasiswaan alumni serta hubungan dengan dunia kerja. Sementara Wakil Dekan IV Dr. Sulaeman Masnan S.Pd.I. M.Pd.I mengoordinasikan bidang Al-Islam dan Kemuhammadiyahan (AIK). Selain itu terdapat Ketua Gugus Kendali Mutu (GKM) Asri Jaya S.E. M.M yang mengawasi penerapan standar mutu fakultas.
FEB,Fakultas Ekonomi dan Bisnis,Fakultas Ekonomi dan Bisnis UNISMUH menyelenggarakan lima program studi yang dirancang untuk menjawab kebutuhan dunia kerja dan perkembangan ilmu. S1 Manajemen berfokus pada ilmu manajerial kewirausahaan dan strategi bisnis. S1 Ekonomi Pembangunan menekankan analisis kebijakan pembangunan daerah dan isu-isu makro ekonomi. S1 Akuntansi mendidik mahasiswa dalam bidang audit perpajakan serta sistem informasi akuntansi. S1 Ekonomi Islam mengintegrasikan ilmu ekonomi dengan prinsip syariah membekali mahasiswa menjadi praktisi dan akademisi ekonomi syariah. Sementara D3 Perpajakan menyiapkan tenaga profesional ahli pajak dengan pemahaman regulasi perpajakan di Indonesia.
FEB,Fakultas Ekonomi dan Bisnis,FEB UNISMUH memiliki Unit Penjaminan Mutu (UPM) dan Gugus Kendali Mutu (GKM) yang berfungsi menjamin kualitas akademik dan layanan pendidikan. Penjaminan mutu meliputi penyusunan dokumen standar mutu baik di tingkat universitas maupun fakultas. Selain itu dilakukan monitoring dan evaluasi (Monev) terhadap kepuasan mahasiswa dosen dan tenaga kependidikan. Laporan audit mutu internal (AMI) juga rutin disusun sebagai bagian dari implementasi siklus PPEPP (Penetapan Pelaksanaan Evaluasi Pengendalian dan Peningkatan). Dengan sistem ini FEB berupaya mempertahankan standar pendidikan yang berkelanjutan dan akuntabel.
FEB,Fakultas Ekonomi dan Bisnis,Kehidupan mahasiswa di FEB sangat dinamis dengan hadirnya berbagai organisasi kemahasiswaan. Lembaga mahasiswa ini tidak hanya menjadi sarana pengembangan diri tetapi juga wadah untuk menyalurkan minat bakat serta aspirasi mahasiswa. Beberapa organisasi aktif di antaranya adalah IMM (Ikatan Mahasiswa Muhammadiyah) BEM FEB HIMAJEP (Ekonomi Pembangunan) HIMANSI (Akuntansi) HMJ Manajemen HIMAKIS (Ekonomi Islam) dan HIMAPA (Perpajakan). Kehadiran organisasi-organisasi ini membantu mahasiswa mengembangkan jiwa kepemimpinan kemampuan organisasi serta keterampilan sosial di luar ruang kelas.
FEB,Fakultas Ekonomi dan Bisnis,Ikatan Mahasiswa Muhammadiyah (IMM) merupakan salah satu organisasi mahasiswa terbesar di FEB. IMM lahir secara resmi pada 14 Maret 1964 dan berasaskan Islam UUD 1945 serta Pancasila. IMM hadir dari idealisme internal Muhammadiyah dan juga dorongan eksternal untuk menghadirkan organisasi mahasiswa yang independen. Di FEB IMM berperan penting dalam menanamkan nilai-nilai keislaman kepada mahasiswa serta mengembangkan jiwa kritis intelektual dan sosial yang berbasis pada dakwah pencerahan Muhammadiyah.
FEB,Fakultas Ekonomi dan Bisnis,Himpunan Mahasiswa Perpajakan (HIMAPA) berdiri pada 14 Juni 2017. HIMAPA berasaskan Pancasila UUD 1945 dan Pola Pembinaan Universitas Muhammadiyah. Visi organisasi ini adalah mencetak mahasiswa D3 Perpajakan yang taat beragama kritis kreatif visioner serta memiliki rasa tanggung jawab. HIMAPA bertujuan menghimpun seluruh mahasiswa program perpajakan dengan semangat kesetiakawanan kebersamaan dan idealisme yang kuat. Program-program yang dijalankan tidak hanya bersifat akademik tetapi juga sosial sehingga membentuk mahasiswa yang siap menghadapi tantangan di bidang perpajakan.
FEB,Fakultas Ekonomi dan Bisnis,Himpunan Mahasiswa Jurusan Ekonomi Pembangunan (HIMAJEP) merupakan organisasi tertua di FEB dibentuk pada tahun 1980. HIMAJEP memiliki visi menjadi himpunan yang aktif kreatif dan mampu menyerap aspirasi mahasiswa ekonomi pembangunan. Misi mereka antara lain menghadirkan program-program akademik dan sosial yang bermanfaat luas mempererat kebersamaan dan membangun tanggung jawab sosial mahasiswa. HIMAJEP menjadi wadah mahasiswa ekonomi pembangunan untuk berorganisasi berinovasi serta berkontribusi pada isu pembangunan di masyarakat.
FEB,Fakultas Ekonomi dan Bisnis,International Economics and Business Conference (IECON) merupakan forum ilmiah internasional yang digagas FEB UNISMUH. Konferensi pertama diselenggarakan pada 7-8 Maret 2023 dengan menghadirkan akademisi peneliti dan praktisi dari dalam maupun luar negeri. Tema utama yang dibahas meliputi manajemen akuntansi ekonomi pembangunan ekonomi Islam dan perpajakan. IECON bertujuan menjadi sarana publikasi hasil penelitian memperluas jejaring akademik serta meningkatkan reputasi internasional FEB UNISMUH.
FEB,Fakultas Ekonomi dan Bisnis,FEB UNISMUH menjalin komunikasi strategis dengan Otoritas Jasa Keuangan (OJK) Wilayah VI Sulawesi-Maluku. Audiensi ini bertujuan menyelaraskan kurikulum fakultas dengan kebutuhan industri jasa keuangan. Dalam pertemuan ini juga dibahas rencana kolaborasi berupa kuliah tamu kegiatan Kuliah Kerja Profesi (KKP) serta program literasi keuangan syariah bagi masyarakat desa. Kolaborasi ini memperkuat posisi FEB sebagai mitra strategis dalam meningkatkan pemahaman keuangan di masyarakat.
